in:Index,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF,out:PMV
187,40,31,2.6,4.2,0.4,1.0,2.7,10,0.6,4.5,2.0,1.2,0.5,0,-80,0.7,0.3,3,1.2,0.1,1.6,0.0,0.4,0.904321,82.442,0.904321,0.950617,77.634321,39.623756,2,-999
196,55,54,1.9,7.8,0.9,0.1,0.0,35,1.6,5.9,0.8,0.0,0.3,0,-60,1.2,0.1,4,0.02,0.7,2.58,0.0,0.0,1.0,83.951,1.0,0.731481,53.922963,31.9658,5,-999
205,50,47,2.6,5.2,0.4,1.3,1.4,10,0.8,3.4,2.0,1.9,0.9,0,-60,0.4,0.0,2,0.3,0.9,4.9,0.1,0.2,1.0,82.647,1.0,0.910494,74.722747,38.126849,4,-999
209,65,44,2.3,7.6,0.7,0.1,0.2,25,2.0,3.4,1.0,1.7,1.1,0,-80,0.8,0.1,7,0.4,0.2,0.87,0.2,0.2,1.0,83.608,1.0,0.858025,69.418549,35.738092,7,-999
210,60,54,2.1,7.7,0.9,0.1,0.1,35,1.6,5.9,1.0,0.0,0.3,0,-40,1.4,0.0,9,0.1,0.8,0.86,0.0,0.1,1.0,81.996,1.0,0.944444,68.337191,22.409339,6,-999
213,35,30,2.0,4.7,0.9,1.5,1.7,10,0.8,3.4,2.0,1.8,1.0,0,-80,0.9,0.0,3,1.1,0.1,2.05,0.15,0.15,0.916667,82.476,0.916667,0.935185,77.013519,40.473971,1,-999
216,50,31,2.5,5.4,0.5,2.2,0.3,10,0.7,3.9,2.0,1.3,1.0,0,-80,1.2,0.7,4,1.0,0.1,1.1,0.3,0.4,0.876543,82.373,0.876543,0.938272,77.529012,39.856034,4,-999
217,60,48,2.6,6.2,0.4,1.2,0.5,10,0.6,4.5,2.0,1.2,0.5,0,-80,0.7,0.3,7,0.2,0.1,0.83,0.05,0.0,1.0,83.059,1.0,0.895062,73.993364,42.42144,6,-999
219,35,30,2.2,4.3,0.8,0.2,3.4,20,1.5,3.6,1.0,1.2,1.4,0,-80,0.9,0.1,2,0.6,0.9,3.7,0.25,0.2,0.990741,82.545,0.990741,0.916667,75.748735,33.349332,1,-999
235,50,44,2.5,5.4,0.5,1.3,1.2,25,1.9,3.6,0.9,1.1,1.5,0,-40,0.9,0.0,3,0.3,0.1,2.4,0.0,0.15,1.0,83.402,1.0,0.867284,69.151358,36.480077,4,-999
