in:Index,img:Output1,img:Output2,img:Output3,out:WWR_Skylight,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Frame_BL,out:Frame_BR,out:Frame_TR,out:Frame_TL,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
14,Index_14_Parallel.png,Index_14_Back.png,Index_14_Front.png,70,2.5,7.6,0.5,0.2,0.1,40,1.8,6,0.9,0.2,0,-180,1.2,1,0.4,1.2,514.008,18,88.512,1,0.108,35.95,28.941
15,Index_15_Parallel.png,Index_15_Back.png,Index_15_Front.png,70,2.6,7.3,0.4,0.6,0,40,1.8,6,0.8,0,0.2,-180,0.1,1.5,1.5,0.1,519.718,17,88.889,1,0.108,36.291,30.333
16,Index_16_Parallel.png,Index_16_Back.png,Index_16_Front.png,70,2.5,7.6,0.5,0.1,0.2,30,1.4,5.8,0.9,0.4,0,-180,0.7,0.1,0.1,0.7,528.433,9,89.438,1,0.102,35.766,36.781
17,Index_17_Parallel.png,Index_17_Back.png,Index_17_Front.png,65,2.3,7.6,0.7,0,0.3,30,1.5,5.4,0.8,0.5,0.3,-180,1.3,0.4,0.3,0.3,529.683,8,89.198,1,0.111,35.156,36.688
18,Index_18_Parallel.png,Index_18_Back.png,Index_18_Front.png,70,2.5,7.6,0.5,0,0.3,25,1.3,5.2,1,1,0,-180,0.6,1.2,0.1,0.5,539.272,6,89.54,1,0.105,35.854,37.973
19,Index_19_Parallel.png,Index_19_Back.png,Index_19_Front.png,70,2.5,7.6,0.5,0,0.3,35,1.8,5.2,1,0,1,-180,0.8,0.3,0.1,0.9,555.47,13,89.232,1,0.133,36.389,33.283
20,Index_20_Parallel.png,Index_20_Back.png,Index_20_Front.png,60,2.1,7.7,0.8,0.1,0.1,35,1.6,5.9,0.9,0,0.3,-180,0.2,0.6,0.3,0.1,567.566,8,89.369,1,0.114,35.946,36.817
21,Index_21_Parallel.png,Index_21_Back.png,Index_21_Front.png,65,2.3,7.6,0.7,0.1,0.2,40,1.8,6,0.8,0,0.2,-180,0.9,0.9,0.3,1.1,596.492,17,88.34,1,0.127,36.135,29.759
22,Index_22_Parallel.png,Index_22_Back.png,Index_22_Front.png,70,2.5,7.6,0.5,0,0.3,40,2,5.4,1,0.3,0.5,-180,0.1,0.1,1.5,0.1,654.002,17,88.786,1,0.173,37.797,29.241
23,Index_23_Parallel.png,Index_23_Back.png,Index_23_Front.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,0.9,0.1,0.1,-180,1.4,0.9,1,0.9,655.183,47,88.032,1,0.139,37.267,27.274
24,Index_24_Parallel.png,Index_24_Back.png,Index_24_Front.png,60,2.1,7.7,0.9,0.1,0.1,40,1.8,6,0.9,0.1,0.1,-180,0.2,0.9,0.6,0.3,656.775,15,88.512,1,0.123,36.521,31.402
