Folder,Target,Model,R²,RMSE
0306_1500_North0°_Frame(1),EUI,RandomForest,0.98074,0.118058
0306_1500_North0°_Frame(1),EUI,Stacking,0.996098,0.053138
0306_1500_North0°_Frame(1),sDA,XGBoost,0.975467,0.019519
0306_1500_North0°_Frame(1),sDA,LightGBM,0.975221,0.019617
0306_1500_North0°_Frame(1),sDA,RandomForest,0.957479,0.025697
0306_1500_North0°_Frame(1),sDA,Stacking,0.977308,0.018773
0306_1500_North0°_Frame(1),sGA,XGBoost,0.977383,0.010693
0306_1500_North0°_Frame(1),sGA,LightGBM,0.975121,0.011215
0306_1500_North0°_Frame(1),sGA,RandomForest,0.952594,0.015481
0306_1500_North0°_Frame(1),sGA,Stacking,0.979248,0.010243
0306_1500_North0°_Frame(1),UDI,XGBoost,0.993851,0.603136
0306_1500_North0°_Frame(1),UDI,LightGBM,0.99222,0.678408
0306_1500_North0°_Frame(1),UDI,RandomForest,0.96938,1.345888
0306_1500_North0°_Frame(1),UDI,Stacking,0.994165,0.587523
0306_1500_North0°_Frame(1),SVF,XGBoost,0.994067,0.468916
0306_1500_North0°_Frame(1),SVF,LightGBM,0.991152,0.572617
0306_1500_North0°_Frame(1),SVF,RandomForest,0.963473,1.163457
0306_1500_North0°_Frame(1),SVF,Stacking,0.994543,0.449712
0306_2000_North0°_Overhang(1),EUI,XGBoost,0.987646,0.123818
0306_2000_North0°_Overhang(1),EUI,LightGBM,0.990341,0.109481
0306_2000_North0°_Overhang(1),EUI,RandomForest,0.978452,0.163524
0306_2000_North0°_Overhang(1),EUI,Stacking,0.991473,0.102865
0306_2000_North0°_Overhang(1),sDA,XGBoost,0.959935,0.03757
0306_2000_North0°_Overhang(1),sDA,LightGBM,0.956249,0.03926
0306_2000_North0°_Overhang(1),sDA,RandomForest,0.94771,0.042921
0306_2000_North0°_Overhang(1),sDA,Stacking,0.966613,0.034296
0306_2000_North0°_Overhang(1),sGA,XGBoost,0.979017,0.012223
0306_2000_North0°_Overhang(1),sGA,LightGBM,0.982783,0.011072
0306_2000_North0°_Overhang(1),sGA,RandomForest,0.969672,0.014695
0306_2000_North0°_Overhang(1),sGA,Stacking,0.983593,0.010808
0306_2000_North0°_Overhang(1),UDI,XGBoost,0.98264,1.22536
0306_2000_North0°_Overhang(1),UDI,LightGBM,0.986271,1.089696
0306_2000_North0°_Overhang(1),UDI,RandomForest,0.970114,1.60778
0306_2000_North0°_Overhang(1),UDI,Stacking,0.987653,1.03343
0306_2000_North0°_Overhang(1),SVF,XGBoost,0.974756,1.251992
0306_2000_North0°_Overhang(1),SVF,LightGBM,0.98101,1.085868
0306_2000_North0°_Overhang(1),SVF,RandomForest,0.958085,1.613253
0306_2000_North0°_Overhang(1),SVF,Stacking,0.982857,1.031719
0307_2000_South0°_Vertical(1),EUI,XGBoost,0.988639,0.167015
0307_2000_South0°_Vertical(1),EUI,LightGBM,0.990212,0.155021
0307_2000_South0°_Vertical(1),EUI,RandomForest,0.971441,0.264801
0307_2000_South0°_Vertical(1),EUI,Stacking,0.99125,0.146574
0307_2000_South0°_Vertical(1),sDA,XGBoost,0.974478,0.016623
0307_2000_South0°_Vertical(1),sDA,LightGBM,0.969287,0.018235
0307_2000_South0°_Vertical(1),sDA,RandomForest,0.972799,0.017161
0307_2000_South0°_Vertical(1),sDA,Stacking,0.975397,0.016321
0307_2000_South0°_Vertical(1),sGA,XGBoost,0.987558,0.019485
0307_2000_South0°_Vertical(1),sGA,LightGBM,0.987318,0.019672
0307_2000_South0°_Vertical(1),sGA,RandomForest,0.973312,0.028537
0307_2000_South0°_Vertical(1),sGA,Stacking,0.989219,0.018138
0307_2000_South0°_Vertical(1),UDI,XGBoost,0.99085,0.836102
0307_2000_South0°_Vertical(1),UDI,LightGBM,0.992451,0.759461
0307_2000_South0°_Vertical(1),UDI,RandomForest,0.979554,1.249871
0307_2000_South0°_Vertical(1),UDI,Stacking,0.993741,0.691505
0307_2000_South0°_Vertical(1),SVF,XGBoost,0.992125,0.741827
0307_2000_South0°_Vertical(1),SVF,LightGBM,0.994996,0.591317
0307_2000_South0°_Vertical(1),SVF,RandomForest,0.983092,1.086982
0307_2000_South0°_Vertical(1),SVF,Stacking,0.995362,0.569289
0310_2000_North0°_Vertical(1),EUI,XGBoost,0.969006,0.144741
0310_2000_North0°_Vertical(1),EUI,LightGBM,0.973463,0.133931
0310_2000_North0°_Vertical(1),EUI,RandomForest,0.944682,0.193369
0310_2000_North0°_Vertical(1),EUI,Stacking,0.974762,0.13061
0310_2000_North0°_Vertical(1),sDA,XGBoost,0.96683,0.024127
0310_2000_North0°_Vertical(1),sDA,LightGBM,0.966245,0.024339
0310_2000_North0°_Vertical(1),sDA,RandomForest,0.95201,0.029021
0310_2000_North0°_Vertical(1),sDA,Stacking,0.969531,0.023124
0310_2000_North0°_Vertical(1),sGA,XGBoost,0.975309,0.010025
0310_2000_North0°_Vertical(1),sGA,LightGBM,0.979432,0.00915
0310_2000_North0°_Vertical(1),sGA,RandomForest,0.957506,0.013152
0310_2000_North0°_Vertical(1),sGA,Stacking,0.981529,0.008671
0310_2000_North0°_Vertical(1),UDI,XGBoost,0.986701,0.760333
0310_2000_North0°_Vertical(1),UDI,LightGBM,0.984714,0.815162
0310_2000_North0°_Vertical(1),UDI,RandomForest,0.96899,1.161028
0310_2000_North0°_Vertical(1),UDI,Stacking,0.988793,0.697968
0310_2000_North0°_Vertical(1),SVF,XGBoost,0.994719,0.590403
0310_2000_North0°_Vertical(1),SVF,LightGBM,0.994034,0.627528
0310_2000_North0°_Vertical(1),SVF,RandomForest,0.984467,1.012573
0310_2000_North0°_Vertical(1),SVF,Stacking,0.995575,0.540445
0311_2000_South0°_Overhang+Vertical(1),EUI,XGBoost,0.960086,0.390629
0311_2000_South0°_Overhang+Vertical(1),EUI,LightGBM,0.969489,0.341533
0311_2000_South0°_Overhang+Vertical(1),EUI,RandomForest,0.938314,0.48562
0311_2000_South0°_Overhang+Vertical(1),EUI,Stacking,0.973809,0.316433
0311_2000_South0°_Overhang+Vertical(1),sDA,XGBoost,0.891653,0.062173
0311_2000_South0°_Overhang+Vertical(1),sDA,LightGBM,0.898803,0.060086
0311_2000_South0°_Overhang+Vertical(1),sDA,RandomForest,0.84703,0.073875
0311_2000_South0°_Overhang+Vertical(1),sDA,Stacking,0.904315,0.058427
0311_2000_South0°_Overhang+Vertical(1),sGA,XGBoost,0.954714,0.042229
0311_2000_South0°_Overhang+Vertical(1),sGA,LightGBM,0.956992,0.041154
0311_2000_South0°_Overhang+Vertical(1),sGA,RandomForest,0.924609,0.054487
0311_2000_South0°_Overhang+Vertical(1),sGA,Stacking,0.960545,0.039417
0311_2000_South0°_Overhang+Vertical(1),UDI,XGBoost,0.937139,2.430337
0311_2000_South0°_Overhang+Vertical(1),UDI,LightGBM,0.954016,2.078649
0311_2000_South0°_Overhang+Vertical(1),UDI,RandomForest,0.910657,2.897394
0311_2000_South0°_Overhang+Vertical(1),UDI,Stacking,0.962198,1.884675
0311_2000_South0°_Overhang+Vertical(1),SVF,XGBoost,0.971607,1.555283
0311_2000_South0°_Overhang+Vertical(1),SVF,LightGBM,0.973204,1.510907
0311_2000_South0°_Overhang+Vertical(1),SVF,RandomForest,0.943615,2.191706
0311_2000_South0°_Overhang+Vertical(1),SVF,Stacking,0.976381,1.418522
0312_2000_North0°_Overhang+Vertical(1),EUI,XGBoost,0.946322,0.226029
0312_2000_North0°_Overhang+Vertical(1),EUI,LightGBM,0.957618,0.200842
0312_2000_North0°_Overhang+Vertical(1),EUI,RandomForest,0.89186,0.320818
0312_2000_North0°_Overhang+Vertical(1),EUI,Stacking,0.960082,0.194917
0312_2000_North0°_Overhang+Vertical(1),sDA,XGBoost,0.946844,4.346526
0312_2000_North0°_Overhang+Vertical(1),sDA,LightGBM,0.946315,4.368086
0312_2000_North0°_Overhang+Vertical(1),sDA,RandomForest,0.930487,4.970493
0312_2000_North0°_Overhang+Vertical(1),sDA,Stacking,0.954744,4.010577
0312_2000_North0°_Overhang+Vertical(1),sGA,XGBoost,0.905298,1.835385
0312_2000_North0°_Overhang+Vertical(1),sGA,LightGBM,0.902781,1.85961
0312_2000_North0°_Overhang+Vertical(1),sGA,RandomForest,0.834914,2.423273
0312_2000_North0°_Overhang+Vertical(1),sGA,Stacking,0.912605,1.763152
0312_2000_North0°_Overhang+Vertical(1),UDI,XGBoost,0.917094,1.698034
0312_2000_North0°_Overhang+Vertical(1),UDI,LightGBM,0.924111,1.624584
0312_2000_North0°_Overhang+Vertical(1),UDI,RandomForest,0.851097,2.275648
0312_2000_North0°_Overhang+Vertical(1),UDI,Stacking,0.931316,1.54554
0312_2000_North0°_Overhang+Vertical(1),SVF,XGBoost,0.969312,1.506204
0312_2000_North0°_Overhang+Vertical(1),SVF,LightGBM,0.973017,1.412364
0312_2000_North0°_Overhang+Vertical(1),SVF,RandomForest,0.934836,2.194855
0312_2000_North0°_Overhang+Vertical(1),SVF,Stacking,0.976566,1.316222
0312_2000_North0°_Overhang+Vertical(1)_replaced,EUI,XGBoost,0.885233,0.41934
0312_2000_North0°_Overhang+Vertical(1)_replaced,EUI,LightGBM,0.880409,0.428062
0312_2000_North0°_Overhang+Vertical(1)_replaced,EUI,RandomForest,0.809433,0.540358
0312_2000_North0°_Overhang+Vertical(1)_replaced,EUI,Stacking,0.888876,0.412632
0312_2000_North0°_Overhang+Vertical(1)_replaced,sDA,XGBoost,0.943284,4.489092
0312_2000_North0°_Overhang+Vertical(1)_replaced,sDA,LightGBM,0.942369,4.525186
0312_2000_North0°_Overhang+Vertical(1)_replaced,sDA,RandomForest,0.907818,5.723066
0312_2000_North0°_Overhang+Vertical(1)_replaced,sDA,Stacking,0.949144,4.250856
0312_2000_North0°_Overhang+Vertical(1)_replaced,sGA,XGBoost,0.91714,1.714514
0312_2000_North0°_Overhang+Vertical(1)_replaced,sGA,LightGBM,0.909378,1.793023
0312_2000_North0°_Overhang+Vertical(1)_replaced,sGA,RandomForest,0.855387,2.265022
0312_2000_North0°_Overhang+Vertical(1)_replaced,sGA,Stacking,0.920246,1.682066
0312_2000_North0°_Overhang+Vertical(1)_replaced,UDI,XGBoost,0.919997,1.668707
0312_2000_North0°_Overhang+Vertical(1)_replaced,UDI,LightGBM,0.940944,1.433695
0312_2000_North0°_Overhang+Vertical(1)_replaced,UDI,RandomForest,0.869241,2.133348
0312_2000_North0°_Overhang+Vertical(1)_replaced,UDI,Stacking,0.945183,1.38128
0312_2000_North0°_Overhang+Vertical(1)_replaced,SVF,XGBoost,0.967736,1.546217
0312_2000_North0°_Overhang+Vertical(1)_replaced,SVF,LightGBM,0.971645,1.449522
0312_2000_North0°_Overhang+Vertical(1)_replaced,SVF,RandomForest,0.936728,2.165276
0312_2000_North0°_Overhang+Vertical(1)_replaced,SVF,Stacking,0.974611,1.371623
