in:Index,img:Output1,img:Output2,img:Output3,img:Output4,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
20,Index_20_Parallel.png,Index_20_Back.png,Index_20_Front.png,Index_20_Top.png,30,30,1.2,6.8,0.8,1.1,0,10,0.8,3.4,2,2.4,0.4,-180,80,2,0,4,0.02,1.5,2.25,0,0,,3,81.687,0.626543,0.8827,73.45,17.4
21,Index_21_Parallel.png,Index_21_Back.png,Index_21_Front.png,Index_21_Top.png,40,36,1.6,6.8,0.8,0.4,0.7,30,1.6,5.1,1,0.4,0.7,-180,30,1.4,0.7,8,0.1,1.1,0.87,0,0.1,,3,82.202,0.993827,0.9228,76.7,15.29
22,Index_22_Parallel.png,Index_22_Back.png,Index_22_Front.png,Index_22_Top.png,55,30,1.9,7.8,0.8,0.1,0,20,1.5,3.6,0.8,2.5,0.1,-180,30,0.9,0.7,6,0.7,1.1,0.86,0.55,0.1,,3,82.167,0.962963,0.8519,73.8,21.45
23,Index_23_Parallel.png,Index_23_Back.png,Index_23_Front.png,Index_23_Top.png,30,29,1.4,5.8,1,1.2,0.9,10,0.8,3.4,2,0.6,2.2,-180,80,2,0,7,0.02,1.5,0.95,0,0,,2,80.316,0.160494,0.9321,73.38,8.03
24,Index_24_Parallel.png,Index_24_Back.png,Index_24_Front.png,Index_24_Top.png,40,33,2.6,4.2,0.4,0.4,3.3,10,0.8,3.4,2,1,1.8,-180,-40,0.8,0.1,5,0.2,0.4,0.85,0,0.15,,3,84.774,0.947531,0.7346,69.4,31.35
25,Index_25_Parallel.png,Index_25_Back.png,Index_25_Front.png,Index_25_Top.png,50,35,2.2,6.1,0.8,1,0.8,40,1.8,6,0.9,0.1,0.1,-180,10,1.3,0.1,4,0.6,1,1.43,0.1,0.5,,19,83.779,1,0.7284,61.81,22.94
26,Index_26_Parallel.png,Index_26_Back.png,Index_26_Front.png,Index_26_Top.png,65,44,2.3,7.6,0.7,0,0.3,20,0.9,6,1,0.2,0,-180,40,1.1,0,7,0.4,1.3,0.87,0.2,0.05,,2,82.133,0.996914,0.787,71.52,18.6
27,Index_27_Parallel.png,Index_27_Back.png,Index_27_Front.png,Index_27_Top.png,70,63,2.5,7.6,0.5,0.3,0,40,1.8,6,0.9,0.1,0.1,-180,40,1.6,0,9,0.1,0.3,0.85,0.05,0.05,,21,84.808,1,0.6265,50.85,22.54
28,Index_28_Parallel.png,Index_28_Back.png,Index_28_Front.png,Index_28_Top.png,50,50,1.9,7.1,1,0.6,0.2,30,1.4,5.8,0.9,0,0.4,-180,-50,2,0.3,3,0.02,0.2,3.53,0,0,,9,87.997,1,0.2284,44.12,36.49
29,Index_29_Parallel.png,Index_29_Back.png,Index_29_Front.png,Index_29_Top.png,45,31,1.9,6.4,0.8,0.6,0.9,15,1.2,3.4,0.8,1,1.8,-180,-10,0.4,0.6,3,1,1.4,2.2,0.2,0.15,,3,83.848,1,0.7315,67.52,29.47
30,Index_30_Parallel.png,Index_30_Back.png,Index_30_Front.png,Index_30_Top.png,60,33,2.1,7.7,0.9,0.1,0.1,15,1.2,3.4,1,0.4,2.4,-180,-60,0.7,0.7,6,0.7,0.7,0.84,0.6,0.05,,2,84.088,1,0.642,65.94,30.48
31,Index_31_Parallel.png,Index_31_Back.png,Index_31_Front.png,Index_31_Top.png,30,29,1.4,5.8,0.9,0.8,1.3,30,1.4,5.8,0.9,0,0.4,-180,70,0.3,0.5,7,0.02,1.1,0.95,0,0,,4,83.711,1,0.8302,69.55,21.29
32,Index_32_Parallel.png,Index_32_Back.png,Index_32_Front.png,Index_32_Top.png,50,32,1.9,7.1,0.9,0.6,0.2,25,1.3,5.2,0.9,0.2,0.8,-180,0,1,0.5,6,0.5,0.8,0.92,0.05,0.05,,17,82.853,0.993827,0.7747,70.8,23.05
33,Index_33_Parallel.png,Index_33_Back.png,Index_33_Front.png,Index_33_Top.png,65,65,2.6,6.8,0.4,0,1.1,30,2,4,0.9,0.2,2,-180,-80,0.1,0.1,3,0.02,0.1,3.38,0,0,,10,89.952,1,0.1327,37.75,39.02
34,Index_34_Parallel.png,Index_34_Back.png,Index_34_Front.png,Index_34_Top.png,70,69,2.5,7.6,0.5,0.2,0.1,35,2,4.7,1,0.8,0.7,-180,-20,0.1,0.1,3,0.1,0.1,3.7,0.05,0.05,,11,90.432,1,0.0957,34.48,38.19
35,Index_35_Parallel.png,Index_35_Back.png,Index_35_Front.png,Index_35_Top.png,60,59,2.1,7.7,0.8,0.1,0.1,40,1.8,6,0.9,0.1,0.1,-180,-80,0.1,0.9,2,0.1,1.4,7.6,0,0.1,,16,89.369,1,0.1049,35.53,33.26
36,Index_36_Parallel.png,Index_36_Back.png,Index_36_Front.png,Index_36_Top.png,50,43,1.8,7.5,0.8,0.4,0,30,1.4,5.8,0.9,0.4,0,-180,60,1,0.9,6,0.2,0.8,1.3,0.15,0,,5,83.368,1,0.8395,70.11,18.9
